@relation abalone_output
@attribute null {Male,Female,Infant}
@attribute percentage numeric
@data
Male,1.0
Male,1.0
Female,0.5399074773804069
Female,1.0
Female,0.5993332256598259
Female,0.5842404684245988
Male,1.0
Male,1.0
Female,0.5229967324467728
Female,1.0
Male,1.0
Male,1.0
Female,1.0
Female,0.5441433027886792
Female,1.0
Male,0.5663217956425165
Female,1.0
Male,1.0
Infant,0.5837081224753743
Female,1.0
Male,1.0
Male,0.5445461101173126
Male,1.0
Male,0.5116045953627871
Female,0.5524726819868188
Female,0.5801876470480893
Male,1.0
Male,1.0
Infant,1.0
Infant,1.0
Infant,1.0
Male,1.0
Infant,0.5262673665831272
Infant,1.0
Infant,0.5545488028220558
Infant,1.0
Infant,1.0
Male,1.0
Infant,1.0
Infant,0.5567877341310363
Infant,1.0
Infant,1.0
Female,0.6329449647509908
Male,1.0
Male,1.0
Male,1.0
Female,1.0
Female,1.0
Male,1.0
Infant,0.5043810528539204
Infant,1.0
Female,0.6980099085795793
Infant,0.5966531993932654
Infant,1.0
Male,0.5826368833607122
Female,0.6652517739130812
Female,1.0
Infant,1.0
Infant,1.0
Female,0.5707048067565947
Male,1.0
Infant,1.0
Male,0.771340394108899
Male,0.518051361307148
Female,0.5829827733969635
Female,0.5049041777560342
Male,0.5259542052660116
Male,0.50089151634039
Female,1.0
Male,1.0
Male,1.0
Male,1.0
Male,1.0
Infant,0.641445538077223
Male,1.0
Infant,1.0
Male,1.0
Infant,1.0
Male,1.0
Female,0.600770074370135
Male,1.0
Female,0.5490732327203497
Female,1.0
Infant,1.0
Female,1.0
Female,1.0
Infant,0.7203910741828707
Male,1.0
Female,0.5348008427669656
Male,1.0
Male,1.0
Female,0.6177068330934711
Male,1.0
Male,1.0
Female,1.0
Male,1.0
Male,1.0
Female,0.504229185566517
Female,1.0
Female,1.0
Male,1.0
Male,1.0
Female,0.5774174803233253
Infant,0.6753379535343682
Female,0.5915625646475696
Male,0.7365873074353301
Male,1.0
Male,0.7078292209651442
Female,0.511242567611843
Male,0.6358517484748066
Male,1.0
Male,0.5390340352504333
Male,0.5689322294547267
Male,1.0
Female,1.0
