@relation abalone-weka.filters.unsupervised.instance.RemovePercentage-P60.0

@attribute class {Male,Female,Infant}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute 'Whole_weight' numeric
@attribute 'Shucked_weight' numeric
@attribute 'Viscera_weight' numeric
@attribute 'Shell_weight' numeric
@attribute Rings numeric

@data
Infant,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
Female,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
Male,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
Infant,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
Male,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
Male,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8
Male,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
Male,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
Infant,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
Female,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
Male,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
Infant,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13
Female,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
Male,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
Male,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
Infant,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
Male,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
Male,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
Infant,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
Female,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
Male,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
Infant,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
Infant,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
Male,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7
Female,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
Male,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
Female,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
Female,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
Infant,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
Female,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
Infant,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
Infant,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11
Female,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
Female,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12
Infant,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
Female,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
Male,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
Female,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
Male,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
Female,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
Male,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
Female,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
Female,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
Male,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
Female,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
Female,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
Male,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
Female,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
Female,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
Female,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
Infant,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7
Male,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
Female,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
Male,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
Male,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
Male,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
Female,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13
Female,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16
Male,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11
Male,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11
Male,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
Infant,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
Female,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
Male,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
Infant,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
Infant,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
Infant,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
Male,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
Female,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
Female,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
Male,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
Female,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
Female,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9
Male,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
Male,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
Male,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
Male,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11
Female,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
Male,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
Infant,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
Infant,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
Male,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11
Infant,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7
Male,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
Male,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
Infant,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
Infant,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
Infant,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6
Infant,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
Infant,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
Infant,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3
Male,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13
Male,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15
Male,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15
Male,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
Female,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
Male,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
Female,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
Male,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
Female,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
Male,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11
Male,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
Male,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15
Male,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
Male,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
Male,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
Male,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
Female,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
Male,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
Male,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
Male,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
Female,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
Female,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
Female,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
Male,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
Female,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
Female,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17
Male,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
Male,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
Male,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
Female,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
Male,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
Female,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
Female,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
Male,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
Male,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
Male,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
Female,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15
Male,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
Male,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15
Male,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15
Female,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
Female,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
Male,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
Female,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
Male,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
Female,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13
Male,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
Female,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11
Female,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
Female,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
Infant,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
Male,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
Male,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
Male,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
Male,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11
Male,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15
Male,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
Male,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
Female,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
Male,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
Male,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
Male,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
Infant,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
Infant,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
Male,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
Female,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
Male,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
Female,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
Female,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
Female,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10
Female,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
Male,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
Male,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
Male,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
Male,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
Male,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
Male,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9
Male,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
Female,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
Male,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
Male,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
Male,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
Infant,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7
Male,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
Male,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
Infant,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6
Female,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
Female,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
Female,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
Male,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
Female,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
Infant,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,6
Infant,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
Infant,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
Infant,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
Infant,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6
Infant,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
Infant,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6
Infant,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
Infant,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
Infant,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6
Infant,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
Infant,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6
Infant,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
Infant,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
Infant,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
Infant,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
Infant,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
Infant,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
Male,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
Infant,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6
Infant,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
Infant,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
Infant,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
Infant,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
Male,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
Infant,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
Female,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
Infant,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
Male,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
Female,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
Male,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
Male,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
Male,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
Male,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
Female,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
Female,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
Female,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
Male,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
Female,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
Male,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
Male,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
Male,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
Male,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
Female,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
Male,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
Male,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
Female,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
Female,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8
Female,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
Female,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12
Male,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
Female,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
Male,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
Female,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
Male,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
Female,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
Female,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
Male,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
Male,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
Female,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
Male,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
Female,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
Female,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11
Male,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
Male,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
Female,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
Female,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9
Female,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
Male,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
Male,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
Male,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
Male,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15
Male,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
Female,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,10
Female,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
Female,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
Female,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
Female,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
Female,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
Male,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
Infant,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
Infant,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
Infant,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3
Infant,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
Infant,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
Infant,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
Infant,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
Infant,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
Infant,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4
Infant,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6
Infant,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
Infant,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6
Infant,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
Infant,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5
Infant,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
Infant,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
Infant,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
Infant,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7
Infant,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
Infant,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7
Infant,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
Infant,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
Infant,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
Infant,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6
Infant,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
Infant,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
Infant,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
Infant,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6
Infant,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
Infant,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
Infant,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
Infant,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
Infant,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
Infant,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
Infant,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
Infant,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
Infant,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
Infant,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
Infant,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
Female,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
Infant,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
Infant,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
Infant,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
Infant,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
Infant,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
Infant,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
Infant,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
Infant,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
Infant,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
Infant,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
Infant,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
Infant,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
Female,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
Male,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
Female,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
Male,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
Female,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
Male,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
Male,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
Male,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
Male,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
Female,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
Male,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
Male,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
Male,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
Male,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
Infant,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
Male,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
Male,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
Female,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
Infant,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
Male,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
Infant,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
Male,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
Infant,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7
Infant,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
Male,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
Male,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
Female,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
Male,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
Female,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
Male,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
Female,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
Female,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8
Male,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
Female,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
Male,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
Male,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
Female,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
Female,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
Female,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
Female,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
Male,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
Male,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
Female,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
Male,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
Male,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
Male,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
